Year,visits,month,key_year_month,year
2019,13581.0,Jan,2019_Jan,2019
2018,12222.0,Jan,2018_Jan,2018
2017,14690.0,Jan,2017_Jan,2017
2016,15674.0,Jan,2016_Jan,2016
2015,12087.0,Jan,2015_Jan,2015
2014,12111.0,Jan,2014_Jan,2014
2013,10836.0,Jan,2013_Jan,2013
2012,10318.0,Jan,2012_Jan,2012
2011,10887.0,Jan,2011_Jan,2011
2010,10005.0,Jan,2010_Jan,2010
2009,9800.0,Jan,2009_Jan,2009
2008,9324.0,Jan,2008_Jan,2008
2007,12167.0,Jan,2007_Jan,2007
2006,10009.0,Jan,2006_Jan,2006
2005,7444.0,Jan,2005_Jan,2005
2004,8647.0,Jan,2004_Jan,2004
2003,9321.0,Jan,2003_Jan,2003
2002,6171.0,Jan,2002_Jan,2002
2001,8380.0,Jan,2001_Jan,2001
2000,8118.0,Jan,2000_Jan,2000
2019,11240.0,Feb,2019_Feb,2019
2018,11847.0,Feb,2018_Feb,2018
2017,13802.0,Feb,2017_Feb,2017
2016,16548.0,Feb,2016_Feb,2016
2015,14530.0,Feb,2015_Feb,2015
2014,10242.0,Feb,2014_Feb,2014
2013,11388.0,Feb,2013_Feb,2013
2012,10194.0,Feb,2012_Feb,2012
2011,10911.0,Feb,2011_Feb,2011
2010,10811.0,Feb,2010_Feb,2010
2009,11642.0,Feb,2009_Feb,2009
2008,10966.0,Feb,2008_Feb,2008
2007,12086.0,Feb,2007_Feb,2007
2006,10702.0,Feb,2006_Feb,2006
2005,12496.0,Feb,2005_Feb,2005
2004,12512.0,Feb,2004_Feb,2004
2003,17673.0,Feb,2003_Feb,2003
2002,9065.0,Feb,2002_Feb,2002
2001,8451.0,Feb,2001_Feb,2001
2000,8656.0,Feb,2000_Feb,2000
2019,23989.0,Mar,2019_Mar,2019
2018,21758.0,Mar,2018_Mar,2018
2017,19336.0,Mar,2017_Mar,2017
2016,21257.0,Mar,2016_Mar,2016
2015,18139.0,Mar,2015_Mar,2015
2014,13214.0,Mar,2014_Mar,2014
2013,15758.0,Mar,2013_Mar,2013
2012,12416.0,Mar,2012_Mar,2012
2011,12243.0,Mar,2011_Mar,2011
2010,14646.0,Mar,2010_Mar,2010
2009,10647.0,Mar,2009_Mar,2009
2008,13850.0,Mar,2008_Mar,2008
2007,26534.0,Mar,2007_Mar,2007
2006,12439.0,Mar,2006_Mar,2006
2005,16490.0,Mar,2005_Mar,2005
2004,16805.0,Mar,2004_Mar,2004
2003,12414.0,Mar,2003_Mar,2003
2002,9097.0,Mar,2002_Mar,2002
2001,13677.0,Mar,2001_Mar,2001
2000,12112.0,Mar,2000_Mar,2000
2019,35491.0,Apr,2019_Apr,2019
2018,28404.0,Apr,2018_Apr,2018
2017,38323.0,Apr,2017_Apr,2017
2016,55125.0,Apr,2016_Apr,2016
2015,48270.0,Apr,2015_Apr,2015
2014,28667.0,Apr,2014_Apr,2014
2013,20922.0,Apr,2013_Apr,2013
2012,32085.0,Apr,2012_Apr,2012
2011,15747.0,Apr,2011_Apr,2011
2010,24111.0,Apr,2010_Apr,2010
2009,21805.0,Apr,2009_Apr,2009
2008,17129.0,Apr,2008_Apr,2008
2007,34659.0,Apr,2007_Apr,2007
2006,23373.0,Apr,2006_Apr,2006
2005,54609.0,Apr,2005_Apr,2005
2004,54898.0,Apr,2004_Apr,2004
2003,31312.0,Apr,2003_Apr,2003
2002,18887.0,Apr,2002_Apr,2002
2001,18388.0,Apr,2001_Apr,2001
2000,20796.0,Apr,2000_Apr,2000
2019,167403.0,May,2019_May,2019
2018,195116.0,May,2018_May,2018
2017,177787.0,May,2017_May,2017
2016,183925.0,May,2016_May,2016
2015,134741.0,May,2015_May,2015
2014,112187.0,May,2014_May,2014
2013,108998.0,May,2013_May,2013
2012,112055.0,May,2012_May,2012
2011,92755.0,May,2011_May,2011
2010,106316.0,May,2010_May,2010
2009,102993.0,May,2009_May,2009
2008,85554.0,May,2008_May,2008
2007,137220.0,May,2007_May,2007
2006,100842.0,May,2006_May,2006
2005,131566.0,May,2005_May,2005
2004,116163.0,May,2004_May,2004
2003,97852.0,May,2003_May,2003
2002,82027.0,May,2002_May,2002
2001,90692.0,May,2001_May,2001
2000,86594.0,May,2000_May,2000
2019,544088.0,Jun,2019_Jun,2019
2018,556304.0,Jun,2018_Jun,2018
2017,620962.0,Jun,2017_Jun,2017
2016,485017.0,Jun,2016_Jun,2016
2015,414671.0,Jun,2015_Jun,2015
2014,334074.0,Jun,2014_Jun,2014
2013,343560.0,Jun,2013_Jun,2013
2012,313713.0,Jun,2012_Jun,2012
2011,266283.0,Jun,2011_Jun,2011
2010,337120.0,Jun,2010_Jun,2010
2009,327572.0,Jun,2009_Jun,2009
2008,287059.0,Jun,2008_Jun,2008
2007,341317.0,Jun,2007_Jun,2007
2006,324244.0,Jun,2006_Jun,2006
2005,286605.0,Jun,2005_Jun,2005
2004,281589.0,Jun,2004_Jun,2004
2003,370232.0,Jun,2003_Jun,2003
2002,225695.0,Jun,2002_Jun,2002
2001,230625.0,Jun,2001_Jun,2001
2000,243723.0,Jun,2000_Jun,2000
2019,879711.0,Jul,2019_Jul,2019
2018,905959.0,Jul,2018_Jul,2018
2017,1009665.0,Jul,2017_Jul,2017
2016,818481.0,Jul,2016_Jul,2016
2015,689064.0,Jul,2015_Jul,2015
2014,699650.0,Jul,2014_Jul,2014
2013,645514.0,Jul,2013_Jul,2013
2012,630093.0,Jul,2012_Jul,2012
2011,512494.0,Jul,2011_Jul,2011
2010,673359.0,Jul,2010_Jul,2010
2009,603681.0,Jul,2009_Jul,2009
2008,523881.0,Jul,2008_Jul,2008
2007,621046.0,Jul,2007_Jul,2007
2006,587137.0,Jul,2006_Jul,2006
2005,561774.0,Jul,2005_Jul,2005
2004,541644.0,Jul,2004_Jul,2004
2003,490284.0,Jul,2003_Jul,2003
2002,585823.0,Jul,2002_Jul,2002
2001,490693.0,Jul,2001_Jul,2001
2000,514937.0,Jul,2000_Jul,2000
2019,771874.0,Aug,2019_Aug,2019
2018,667688.0,Aug,2018_Aug,2018
2017,908479.0,Aug,2017_Aug,2017
2016,748565.0,Aug,2016_Aug,2016
2015,579007.0,Aug,2015_Aug,2015
2014,675119.0,Aug,2014_Aug,2014
2013,626556.0,Aug,2013_Aug,2013
2012,604039.0,Aug,2012_Aug,2012
2011,532718.0,Aug,2011_Aug,2011
2010,632971.0,Aug,2010_Aug,2010
2009,541997.0,Aug,2009_Aug,2009
2008,514317.0,Aug,2008_Aug,2008
2007,492343.0,Aug,2007_Aug,2007
2006,493092.0,Aug,2006_Aug,2006
2005,498836.0,Aug,2005_Aug,2005
2004,602042.0,Aug,2004_Aug,2004
2003,261481.0,Aug,2003_Aug,2003
2002,549161.0,Aug,2002_Aug,2002
2001,485240.0,Aug,2001_Aug,2001
2000,522578.0,Aug,2000_Aug,2000
2019,488909.0,Sep,2019_Sep,2019
2018,434600.0,Sep,2018_Sep,2018
2017,389137.0,Sep,2017_Sep,2017
2016,482592.0,Sep,2016_Sep,2016
2015,351388.0,Sep,2015_Sep,2015
2014,353497.0,Sep,2014_Sep,2014
2013,355471.0,Sep,2013_Sep,2013
2012,356975.0,Sep,2012_Sep,2012
2011,320813.0,Sep,2011_Sep,2011
2010,300275.0,Sep,2010_Sep,2010
2009,325257.0,Sep,2009_Sep,2009
2008,262782.0,Sep,2008_Sep,2008
2007,311589.0,Sep,2007_Sep,2007
2006,287424.0,Sep,2006_Sep,2006
2005,269149.0,Sep,2005_Sep,2005
2004,288378.0,Sep,2004_Sep,2004
2003,235172.0,Sep,2003_Sep,2003
2002,305959.0,Sep,2002_Sep,2002
2001,261525.0,Sep,2001_Sep,2001
2000,231886.0,Sep,2000_Sep,2000
2019,78408.0,Oct,2019_Oct,2019
2018,91973.0,Oct,2018_Oct,2018
2017,84469.0,Oct,2017_Oct,2017
2016,75797.0,Oct,2016_Oct,2016
2015,71297.0,Oct,2015_Oct,2015
2014,72694.0,Oct,2014_Oct,2014
2013,25965.0,Oct,2013_Oct,2013
2012,54127.0,Oct,2012_Oct,2012
2011,54356.0,Oct,2011_Oct,2011
2010,66155.0,Oct,2010_Oct,2010
2009,49525.0,Oct,2009_Oct,2009
2008,58605.0,Oct,2008_Oct,2008
2007,66059.0,Oct,2007_Oct,2007
2006,87759.0,Oct,2006_Oct,2006
2005,64658.0,Oct,2005_Oct,2005
2004,89257.0,Oct,2004_Oct,2004
2003,107295.0,Oct,2003_Oct,2003
2002,87651.0,Oct,2002_Oct,2002
2001,53852.0,Oct,2001_Oct,2001
2000,59849.0,Oct,2000_Oct,2000
2019,20008.0,Nov,2019_Nov,2019
2018,20657.0,Nov,2018_Nov,2018
2017,15594.0,Nov,2017_Nov,2017
2016,30823.0,Nov,2016_Nov,2016
2015,19505.0,Nov,2015_Nov,2015
2014,15706.0,Nov,2014_Nov,2014
2013,14924.0,Nov,2013_Nov,2013
2012,16158.0,Nov,2012_Nov,2012
2011,13797.0,Nov,2011_Nov,2011
2010,13541.0,Nov,2010_Nov,2010
2009,15801.0,Nov,2009_Nov,2009
2008,16544.0,Nov,2008_Nov,2008
2007,18688.0,Nov,2007_Nov,2007
2006,16606.0,Nov,2006_Nov,2006
2005,11848.0,Nov,2005_Nov,2005
2004,11824.0,Nov,2004_Nov,2004
2003,20937.0,Nov,2003_Nov,2003
2002,17819.0,Nov,2002_Nov,2002
2001,15704.0,Nov,2001_Nov,2001
2000,11922.0,Nov,2000_Nov,2000
2019,15137.0,Dec,2019_Dec,2019
2018,18781.0,Dec,2018_Dec,2018
2017,13268.0,Dec,2017_Dec,2017
2016,12877.0,Dec,2016_Dec,2016
2015,13357.0,Dec,2015_Dec,2015
2014,11367.0,Dec,2014_Dec,2014
2013,10482.0,Dec,2013_Dec,2013
2012,9862.0,Dec,2012_Dec,2012
2011,10560.0,Dec,2011_Dec,2011
2010,10738.0,Dec,2010_Dec,2010
2009,10628.0,Dec,2009_Dec,2009
2008,8016.0,Dec,2008_Dec,2008
2007,9621.0,Dec,2007_Dec,2007
2006,10772.0,Dec,2006_Dec,2006
2005,9626.0,Dec,2005_Dec,2005
2004,10174.0,Dec,2004_Dec,2004
2003,10073.0,Dec,2003_Dec,2003
2002,8334.0,Dec,2002_Dec,2002
2001,3387.0,Dec,2001_Dec,2001
2000,7522.0,Dec,2000_Dec,2000
